timestamp,Mean Temperature,Max Temperature,Min Temperature,Precipitation,Wind Speed,Max Wind Speed
20060311,43,51,35,0.02,6,13
20060312,46,50,39,0.39,7,12
20060313,45,55,35,0.07,6,17
20060314,50,55,44,0.41,10,17
20060315,52,59,44,0,4,15
20060316,54,59,48,0.39,8,18
20060317,53,60,46,0.23,6,16
20060318,50,61,39,0,7,15
20060319,52,62,41,0,8,13
20060320,48,52,44,0.35,10,16
20060321,49,55,43,0.01,5,10
20060322,50,60,41,0,3,9
20060323,54,64,43,0,4,17
20060324,60,66,53,0.47,7,18
20060325,52,59,46,0.46,13,23
20060326,51,63,39,0,5,13
20060327,53,63,43,0.22,5,17
20060328,52,59,46,0.07,5,20
20060329,51,57,45,0.38,5,13
20060330,52,57,48,0.02,4,13
20060331,52,59,46,0.33,9,17
20060401,52,59,46,0.01,9,13
20060402,54,59,50,0.57,5,10
20060403,54,57,51,0.36,3,10
20060404,52,55,48,0.47,3,12
20060405,52,60,46,0.05,5,16
20060406,52,62,43,0,6,10
20060407,54,62,46,0.14,6,18
20060408,53,63,44,0,7,13
20060409,56,61,50,0.02,4,13
20060410,56,64,50,0,7,21
20060411,56,61,51,0.36,8,18
20060412,55,57,52,0.75,4,13
20060413,60,72,48,0.01,3,13
20060414,60,68,53,0,6,17
20060415,54,59,51,0.02,11,20
20060416,52,60,44,0.51,11,21
20060417,50,61,39,0,6,13
20060418,54,69,41,0,4,13
20060419,59,73,45,0,5,14
20060420,59,73,46,0,5,17
20060421,61,71,52,0,11,18
20060422,58,64,52,0,13,21
20060423,58,64,53,0,8,16
20060424,56,60,53,0,7,12
20060425,56,62,51,0,7,12
20060426,62,73,51,0,11,17
20060427,66,82,50,0,4,9
20060428,65,75,54,0,7,16
20060429,62,72,54,0,13,17
20060430,69,84,54,0,5,10
20060501,66,82,51,0,3,13
20060502,66,82,51,0,4,15
20060503,59,66,52,0,13,18
20060504,60,68,52,0,8,14
20060505,58,64,52,0,9,17
20060506,58,68,51,0,15,17
20060507,66,80,51,0,10,16
20060508,67,80,54,0,8,12
20060509,68,84,52,0,6,13
20060510,70,89,53,0,2,15
20060511,70,87,55,0,5,14
20060512,68,82,55,0,7,17
20060513,66,80,53,0,13,17
20060514,72,93,52,0,5,12
20060515,76,89,62,0,6,16
20060516,70,84,55,0,10,14
20060517,70,84,55,0,8,15
20060518,68,84,53,0,9,16
20060519,59,68,52,0.03,9,16
20060520,62,75,50,0,5,14
20060521,61,70,53,0.53,4,12
20060522,62,71,52,0.01,7,14
20060523,66,75,57,0,7,20
20060524,64,75,55,0,6,17
20060525,62,73,53,0,10,17
20060526,62,70,53,0,13,25
20060527,59,69,50,0,12,21
20060528,62,75,51,0,9,14
20060529,64,78,51,0,10,14
20060530,68,82,53,0,9,16
20060531,68,84,54,0,10,15
20060601,70,81,59,0,9,16
20060602,72,82,62,0,7,14
20060603,74,90,60,0,8,18
20060604,70,81,60,0,8,15
20060605,68,81,57,0,14,20
20060606,70,87,55,0,13,16
20060607,70,86,57,0,13,21
20060608,65,77,55,0,17,21
20060609,68,82,55,0,14,18
20060610,63,72,54,0,17,21
20060611,63,71,55,0,13,18
20060612,62,68,57,0,10,15
20060613,62,71,53,0,9,17
20060614,64,77,52,0,8,17
20060615,70,86,55,0,7,13
20060616,79,98,60,0,6,15
20060617,78,95,64,0,7,14
20060618,72,86,57,0,12,21
20060619,69,84,54,0,14,20
20060620,74,93,55,0,5,13
20060621,80,100,61,0,2,13
20060622,83,104,64,0,5,12
20060623,78,97,59,0,6,16
20060624,74,93,57,0,8,16
20060625,75,93,59,0,9,16
20060626,78,97,59,0,9,15
20060627,72,86,61,0,8,16
20060628,72,84,61,0.06,8,16
20060629,74,90,57,0,9,16
20060630,67,77,57,0,12,18
20060701,72,90,55,0,11,16
20060702,70,84,57,0,13,16
20060703,69,86,54,0,15,18
20060704,70,84,55,0,14,20
20060705,65,77,55,0,16,21
20060706,68,82,54,0,15,21
20060707,74,95,55,0,6,13
20060708,79,100,59,0,4,15
20060709,78,100,57,0,7,17
20060710,70,84,57,0,14,17
20060711,68,80,57,0,16,21
20060712,68,82,55,0,13,18
20060713,77,95,61,0,6,18
20060714,72,91,55,0,8,16
20060715,74,93,55,0,8,15
20060716,78,102,57,0,5,13
20060717,84,106,62,0,4,16
20060718,81,99,64,0,7,18
20060719,81,95,69,0,6,16
20060720,83,100,66,0,5,13
20060721,87,106,69,0,4,13
20060722,90,111,70,0,4,13
20060723,92,111,72,0,5,14
20060724,86,109,64,0,6,14
20060725,86,108,64,0,6,13
20060726,80,98,63,0,8,14
20060727,74,91,59,0,9,17
20060728,70,84,59,0,12,17
20060729,69,79,60,0,11,18
20060730,74,89,60,0,8,15
20060731,70,81,60,0,14,21
20060801,72,87,57,0,13,18
20060802,70,86,57,0,8,17
20060803,72,89,55,0,10,16
20060804,66,77,57,0,12,17
20060805,68,78,59,0,11,17
20060806,68,81,57,0,7,18
20060807,66,73,59,0,12,20
20060808,74,89,60,0,7,12
20060809,80,99,62,0,3,15
20060810,78,95,62,0,6,14
20060811,70,84,59,0,11,16
20060812,70,84,57,0,11,16
20060813,70,84,57,0,8,17
20060814,66,75,57,0,11,17
20060815,66,78,55,0,9,15
20060816,68,79,57,0,15,22
20060817,70,88,53,0,6,16
20060818,71,88,55,0,6,13
20060819,69,84,54,0,7,14
20060820,66,79,55,0,7,14
20060821,68,82,55,0,7,13
20060822,73,91,55,0,4,16
20060823,71,89,54,0,5,14
20060824,70,87,55,0,6,16
20060825,66,78,57,0,12,18
20060826,70,84,57,0,8,15
20060827,70,86,55,0,7,15
20060828,70,86,55,0,7,15
20060829,67,80,55,0,14,18
20060830,72,91,55,0,5,12
20060831,75,96,57,0,3,12
20060901,72,88,57,0,6,15
20060902,68,82,54,0,9,17
20060903,66,78,53,0,8,15
20060904,67,82,52,0,7,15
20060905,72,91,53,0,4,12
20060906,70,89,53,0,5,14
20060907,70,88,55,0,6,16
20060908,62,68,57,0,16,24
20060909,64,73,55,0,13,17
20060910,68,82,55,0,9,13
20060911,74,93,54,0,4,12
20060912,79,100,59,0,2,13
20060913,74,91,57,0,6,15
20060914,62,69,57,0,15,23
20060915,62,72,53,0,14,21
20060916,63,80,48,0,6,10
20060917,70,88,53,0,4,12
20060918,72,89,55,0,4,15
20060919,68,81,57,0,11,16
20060920,69,88,52,0,4,12
20060921,72,87,57,0,4,14
20060922,70,84,55,0,4,13
20060923,73,88,59,0,5,14
20060924,71,90,52,0,2,9
20060925,72,91,53,0,3,8
20060926,68,82,55,0,4,14
20060927,68,81,55,0,7,13
20060928,63,75,53,0,7,14
20060929,62,73,52,0,7,15
20060930,60,66,55,0,11,15
20061001,58,64,53,0,8,14
20061002,62,69,54,0,4,9
20061003,60,70,52,0,6,15
20061004,60,66,55,0.08,6,13
20061005,60,66,53,0.04,4,9
20061006,57,64,50,0,9,18
20061007,63,77,51,0,5,10
20061008,67,84,50,0.01,3,10
20061009,66,84,50,0,2,13
20061010,62,72,52,0,4,10
20061011,66,80,51,0,5,8
20061012,66,82,50,0,4,13
20061013,60,69,51,0,8,17
20061014,61,69,54,0,7,15
20061015,57,60,55,0,9,14
20061016,62,70,55,0,8,15
20061017,60,75,46,0,5,15
20061018,62,78,46,0,3,9
20061019,64,80,48,0,4,10
20061020,68,84,52,0,3,13
20061021,66,82,51,0,4,12
20061022,68,84,52,0,2,7
20061023,66,84,48,0,1,6
20061024,62,75,48,0,2,12
20061025,60,77,44,0,4,12
20061026,60,75,45,0,5,12
20061027,62,79,44,0,3,8
20061028,60,79,42,0,3,8
20061029,56,70,43,0,3,12
20061030,54,63,44,0,7,15
20061101,57,68,46,0.01,4,8
20061102,61,69,53,0.32,3,13
20061103,63,69,57,0,1,9
20061104,62,68,54,0,4,10
20061105,62,73,51,0.01,4,9
20061106,66,78,53,0,3,7
20061107,65,75,55,0,5,14
20061108,62,69,55,0,10,21
20061109,55,64,46,0,7,16
20061110,52,64,41,0,5,8
20061111,50,57,44,0.3,7,14
20061112,50,62,37,0.01,2,6
20061113,56,63,48,0.27,7,16
20061114,57,64,48,0.01,6,10
20061115,56,66,45,0.01,4,8
20061116,58,66,51,0,5,10
20061117,60,66,52,0,3,9
20061118,60,69,50,0,2,9
20061119,52,57,48,0.01,2,9
20061120,54,57,50,0,2,8
20061121,57,66,48,0,3,8
20061122,54,63,46,0.09,6,18
20061123,52,62,39,0,6,14
20061124,46,59,34,0,4,9
20061125,50,62,39,0,6,13
20061126,47,52,42,0.09,9,17
20061127,50,55,43,0.05,8,23
20061128,45,55,35,0,7,16
20061129,44,55,32,0,4,10
20061130,44,55,33,0,2,9
20061131,48,62,35,0,4,7
20061201,48,62,35,0,4,7
20061202,49,61,37,0,5,15
20061203,48,61,36,0,4,12
20061204,49,64,34,0,3,7
20061205,48,63,34,0,2,9
20061206,48,64,33,0,3,9
20061207,48,63,33,0,3,8
20061208,52,64,39,0.07,6,24
20061209,57,62,52,0.31,10,24
20061210,48,55,42,0.21,8,17
20061211,48,52,44,0.08,2,13
20061212,52,53,50,0.45,4,13
20061213,58,62,53,0.01,4,10
20061214,60,63,57,0,7,16
20061215,51,57,45,0.03,9,15
20061216,42,50,34,0,3,9
20061217,42,50,33,0,4,13
20061218,42,55,28,0,3,8
20061219,40,51,28,0,2,7
20061220,40,50,30,0,2,9
20061221,42,45,39,0.46,2,10
20061222,50,57,42,0,3,7
20061223,44,52,35,0,3,9
20061224,45,51,39,0,3,9
20061225,45,48,42,0,1,8
20061226,54,64,44,0.29,9,24
20061227,50,57,43,0.07,21,28
20061228,49,59,37,0,11,15
20061229,44,53,34,0,3,9
20061230,43,54,32,0,2,8
20061231,46,55,36,0,4,9
20070101,50,64,35,0,3,6
20070102,46,54,37,0,2,9
20070103,49,61,37,0,4,17
20070104,48,55,42,0.01,12,24
20070105,47,57,37,0,10,20
20070106,45,57,33,0,4,7
20070107,47,60,34,0,3,7
20070108,48,63,33,0,2,8
20070109,48,63,33,0,3,9
20070110,48,59,37,0,5,17
20070111,42,51,33,0,8,14
20070112,37,46,28,0,7,22
20070113,40,53,26,0,4,8
20070114,42,53,30,0,5,10
20070115,40,52,28,0,4,10
20070116,40,54,27,0.13,3,7
20070117,46,59,33,0,4,7
20070118,45,60,30,0,3,7
20070119,46,61,32,0,4,8
20070120,49,62,36,0,3,6
20070121,50,64,35,0,6,18
20070122,48,60,35,0,3,9
20070123,46,60,32,0,3,9
20070124,46,62,30,0,2,9
20070125,46,59,33,0,2,8
20070126,46,55,37,0.03,2,10
20070127,48,53,42,0.17,3,8
20070128,47,55,39,0.03,3,12
20070129,53,64,42,0,3,7
20070130,50,63,37,0,5,10
20070131,50,55,44,0,7,10
20070201,45,51,39,0,5,12
20070202,48,54,39,0,3,8
20070203,46,59,33,0,3,12
20070204,52,66,37,0,3,10
20070205,52,64,39,0,3,10
20070206,54,64,45,0,4,15
20070207,56,62,50,0.17,4,16
20070208,52,55,48,0.34,4,14
20070209,56,60,53,0.26,6,13
20070210,57,61,53,0.92,5,13
20070211,53,60,46,0.06,7,15
20070212,52,60,43,0.18,5,20
20070213,51,57,44,0,2,10
20070214,51,63,39,0,5,13
20070215,56,69,44,0,4,14
20070216,60,75,44,0.01,4,9
20070217,62,73,50,0,4,10
20070218,55,62,48,0,7,15
20070219,52,64,39,0,7,17
20070220,52,57,48,0,10,14
20070221,54,59,48,0,9,16
20070222,50,55,43,0.45,13,20
20070223,46,55,37,0,7,16
20070224,48,55,42,0.16,10,22
20070225,50,55,46,0.18,13,18
20070226,49,54,44,0.33,9,20
20070227,44,50,37,0.29,9,18
20070228,44,53,36,0,6,18
20070301,46,55,37,0,6,13
20070302,50,63,36,0,4,14
20070303,54,64,43,0,4,10
20070304,56,68,45,0,2,9
20070305,60,71,50,0,2,9
20070306,57,71,43,0,3,12
20070307,56,63,50,0,6,16
20070308,54,63,44,0,5,10
20070309,54,62,46,0,8,13
20070310,58,71,45,0,4,12
20070311,63,78,48,0,3,7
20070312,64,80,50,0,2,9
20070313,66,80,53,0,4,13
20070314,61,73,50,0,9,13
20070315,64,80,48,0,2,7
20070316,65,82,48,0,2,7
20070317,62,75,48,0,6,18
20070318,61,73,50,0,13,17
20070319,58,68,50,0,11,14
20070320,57,64,51,0,8,14
20070321,58,70,45,0,6,13
20070322,58,73,43,0,3,8
20070323,62,79,46,0,4,12
20070324,58,70,48,0,6,20
20070325,58,64,51,0,11,16
20070326,56,64,46,0.16,10,23
20070327,52,61,44,0,14,24
20070328,53,70,37,0,4,12
20070329,58,77,41,0,5,16
20070330,58,75,43,0,4,10
20070331,60,75,46,0,4,15
20070401,60,72,48,0,12,16
20070402,60,73,48,0,9,15
20070403,61,77,45,0,4,14
20070404,62,73,50,0,6,13
20070405,66,80,53,0,4,14
20070406,61,72,51,0,12,17
20070407,60,68,52,0,13,17
20070408,60,71,51,0,11,15
20070409,60,69,53,0,8,15
20070410,59,73,45,0,6,17
20070411,58,64,50,0.07,11,24
20070412,54,66,45,0,13,20
20070413,58,73,44,0,7,16
20070414,54,60,50,0.35,9,14
20070415,59,73,46,0,10,18
20070416,62,79,45,0,6,17
20070417,55,63,46,0,16,28
20070418,53,63,44,0,11,17
20070419,50,59,43,0.01,9,13
20070420,55,66,46,0.13,4,18
20070421,54,60,48,0.1,12,16
20070422,56,63,50,0.15,12,17
20070423,58,73,44,0.01,6,15
20070424,62,75,50,0,11,15
20070425,60,69,51,0,13,20
20070426,64,81,48,0,7,14
20070427,70,88,52,0,2,13
20070428,72,89,55,0,3,18
20070429,64,80,50,0,7,15
20070430,68,82,54,0,10,16
20070501,62,73,50,0,12,20
20070502,58,66,51,0.25,10,23
20070503,55,63,46,0.03,9,15
20070504,56,64,48,0.02,7,13
20070505,67,75,57,0,10,15
20070506,68,88,48,0,6,17
20070507,77,91,63,0,6,14
20070508,75,91,60,0,7,15
20070509,68,86,52,0,8,18
20070510,63,77,51,0,8,15
20070511,61,73,50,0,11,18
20070512,57,68,48,0,14,18
20070513,64,81,48,0,11,17
20070514,68,84,53,0,8,15
20070515,58,66,50,0,16,25
20070516,62,78,50,0,15,17
20070517,62,75,51,0,14,20
20070518,63,75,53,0,13,17
20070519,66,79,54,0,12,16
20070520,66,79,53,0,13,18
20070521,69,86,54,0,8,16
20070522,68,86,51,0,3,12
20070523,72,89,57,0,7,15
20070524,72,89,55,0,3,15
20070525,67,84,52,0,7,14
20070526,66,82,51,0,13,20
20070527,61,72,52,0,19,24
20070528,68,84,53,0,10,17
20070529,62,73,51,0,10,16
20070530,60,69,53,0,11,17
20070531,62,73,53,0,11,17
20070601,64,77,52,0,9,14
20070602,65,78,53,0,13,15
20070603,66,81,53,0,12,16
20070604,73,79,57,0,12,16
20070605,64,73,55,0,12,23
20070606,62,73,52,0,9,14
20070607,65,80,51,0,8,17
20070608,66,82,51,0,12,15
20070609,70,88,52,0,6,16
20070610,70,84,57,0,12,23
20070611,71,87,55,0,12,18
20070612,74,93,55,0,9,16
20070613,80,100,61,0,3,15
20070614,83,102,64,0,3,15
20070615,78,96,57,0,6,22
20070616,64,75,55,0,18,23
20070617,73,91,55,0,9,15
20070618,75,96,55,0,6,15
20070619,63,73,54,0,12,22
20070620,64,75,54,0,10,17
20070621,71,89,54,0,13,17
20070622,74,90,57,0,12,17
20070623,70,86,55,0,11,15
20070624,68,82,55,0,11,15
20070625,73,93,55,0,9,14
20070626,72,89,55,0,7,20
20070627,68,84,55,0,15,18
20070628,70,81,59,0,12,20
20070629,70,82,59,0,10,17
20070630,68,81,55,0,14,18
20070701,70,84,55,0,13,17
20070702,73,90,57,0,10,14
20070703,77,93,61,0,9,14
20070704,80,104,59,0,4,12
20070705,80,102,59,0,7,15
20070706,74,90,59,0,13,18
20070707,65,78,55,0,19,23
20070708,72,91,55,0,12,16
20070709,68,80,57,0,11,20
20070710,66,79,55,0,11,16
20070711,66,73,60,0,10,16
20070712,68,78,57,0,9,15
20070713,74,88,59,0,9,17
20070714,73,87,60,0,10,17
20070715,74,89,60,0,12,17
20070716,69,81,57,0,15,18
20070717,70,81,59,0,12,18
20070718,71,79,62,0.01,9,14
20070719,72,86,59,0,9,15
20070720,71,82,60,0,11,15
20070721,74,87,62,0,12,14
20070722,76,91,63,0,12,16
20070723,78,95,62,0,13,16
20070724,73,87,59,0,15,22
20070725,68,81,57,0,18,22
20070726,72,87,57,0,14,20
20070727,72,91,55,0,11,15
20070728,73,91,55,0,7,21
20070729,73,90,57,0,15,20
20070730,75,93,57,0,13,20
20070731,74,93,57,0,7,14
20070801,72,89,55,0,8,15
20070802,72,87,57,0,7,16
20070803,75,97,55,0,5,14
20070804,76,96,57,0,6,17
20070805,62,70,57,0,16,25
20070806,64,69,59,0,13,18
20070807,66,75,57,0,12,17
20070808,70,82,57,0,13,17
20070809,72,88,57,0,11,16
20070810,73,90,57,0,11,17
20070811,68,82,57,0,16,22
20070812,70,84,57,0,14,17
20070813,73,90,57,0,11,15
20070814,72,90,54,0,9,18
20070815,72,86,59,0,12,16
20070816,72,84,61,0,11,17
20070817,73,89,57,0,9,14
20070818,71,84,60,0,12,16
20070819,70,84,59,0,12,15
20070820,78,91,64,0,9,14
20070821,79,97,62,0,9,16
20070822,79,97,62,0,10,17
20070823,75,91,60,0,11,15
20070824,72,87,59,0,10,17
20070825,68,79,59,0,10,15
20070826,69,82,57,0,7,17
20070827,72,91,55,0,8,16
20070828,79,98,60,0,4,14
20070829,83,100,66,0,5,14
20070830,83,102,66,0,3,14
20070831,81,96,66,0,4,14
20070901,79,99,60,0,5,15
20070902,80,98,61,0,6,12
20070903,76,93,61,0,6,16
20070904,72,81,63,0,11,16
20070905,75,93,59,0,5,13
20070906,77,93,61,0,4,15
20070907,68,75,60,0,11,15
20070908,68,82,55,0,5,17
20070909,66,75,57,0,9,15
20070910,70,81,60,0,9,14
20070911,69,81,57,0,8,14
20070912,64,69,60,0,12,20
20070913,66,77,57,0,8,14
20070914,68,78,59,0,7,14
20070915,65,73,57,0,8,15
20070916,68,78,57,0,6,15
20070917,68,81,57,0,11,18
20070918,67,77,57,0,16,26
20070919,62,71,55,0,16,23
20070920,59,69,50,0,4,10
20070921,68,80,57,0,7,16
20070922,62,66,57,0.04,6,13
20070923,64,73,57,0,4,8
20070924,67,82,52,0,4,13
20070925,68,84,52,0,3,10
20070926,72,89,55,0,4,8
20070927,71,88,55,0,4,14
20070928,60,66,55,0,11,17
20070929,60,75,46,0,4,13
20070930,62,80,46,0,5,14
20071001,67,75,57,0,7,13
20071002,67,84,52,0,5,13
20071003,66,79,55,0,10,15
20071004,60,69,52,0,11,20
20071005,57,66,48,0,6,15
20071006,58,73,44,0,5,13
20071007,62,80,46,0,4,7
20071008,64,80,48,0,3,10
20071009,58,70,46,0.07,7,18
20071010,62,69,54,0.42,7,14
20071011,58,69,48,0,3,10
20071012,54,57,51,0.9,4,12
20071013,60,73,48,0.01,2,12
20071014,60,72,48,0,2,10
20071015,60,69,52,0,8,13
20071016,58,63,52,0.01,9,20
20071017,57,66,48,0.16,5,12
20071018,62,73,51,0,6,12
20071019,64,73,55,0.01,10,18
20071020,60,68,48,0,8,17
20071021,58,75,42,0,4,16
20071022,64,78,52,0,3,8
20071023,65,84,48,0,2,9
20071024,66,82,50,0,2,8
20071025,63,77,51,0,5,18
20071026,61,73,50,0,7,10
20071027,59,71,48,0,2,13
20071028,66,81,51,0,3,8
20071029,60,70,53,0,4,15
20071030,58,64,51,0,8,13
20071101,61,73,51,0,3,9
20071102,62,78,46,0,2,9
20071103,62,79,46,0,2,8
20071104,60,80,43,0,2,10
20071105,61,77,45,0,1,7
20071106,57,68,46,0,3,9
20071107,58,71,44,0.01,1,10
20071108,56,62,51,0,7,15
20071109,57,66,48,0,3,8
20071110,54,62,46,0.42,2,9
20071111,57,66,46,0.2,4,17
20071112,56,69,42,0,3,12
20071113,60,70,50,0,1,6
20071114,62,75,50,0.01,1,7
20071115,61,72,50,0,3,14
20071116,58,64,52,0,7,15
20071117,58,66,51,0.01,4,14
20071118,58,66,50,0,4,15
20071119,56,64,48,0,6,14
20071120,52,63,42,0,1,7
20071121,50,64,37,0,3,7
20071122,52,66,37,0,4,7
20071123,52,70,35,0,4,15
20071124,47,59,35,0,2,7
20071125,51,60,42,0,2,7
20071126,50,64,37,0,2,6
20071127,53,64,42,0,4,10
20071128,52,64,39,0,4,9
20071129,49,62,36,0,2,9
20071130,46,55,37,0,3,10
20071131,46,55,37,0,7,16
20071201,46,55,37,0,7,16
20071202,50,61,39,0,6,18
20071203,57,66,48,0,3,14
20071204,52,57,48,0.13,4,7
20071205,58,66,51,0.01,2,9
20071206,53,55,51,0.41,3,8
20071207,52,57,45,0.49,9,18
20071208,46,55,37,0,5,12
20071209,46,59,34,0,3,6
20071210,46,57,36,0,3,18
20071211,48,57,39,0,10,15
20071212,44,54,35,0,3,6
20071213,45,57,33,0,2,6
20071214,44,55,32,0,1,6
20071215,46,54,37,0,2,9
20071216,50,55,45,0,4,17
20071217,50,55,46,0.12,5,13
20071218,51,57,45,0.43,5,13
20071219,49,57,41,0.02,5,15
20071220,48,54,37,0.25,10,18
20071221,43,53,33,0,2,8
20071222,40,50,30,0,2,8
20071223,46,57,35,0,2,6
20071224,50,57,42,0,4,15
20071225,44,55,32,0,4,8
20071226,44,53,36,0,7,14
20071227,40,50,30,0.13,4,9
20071228,40,42,39,0.1,2,7
20071229,44,46,41,0.07,3,7
20071230,44,52,35,0,4,9
20071231,42,53,32,0,6,15
20080101,47,55,39,0,6,9
20080102,44,54,34,0,3,7
20080103,50,59,42,0.15,7,24
20080104,54,57,50,2.44,16,30
20080105,47,52,42,0.41,7,18
20080106,46,52,39,0,5,13
20080107,47,52,42,0.01,4,13
20080108,47,53,41,0.18,7,20
20080109,45,48,42,0,2,6
20080110,48,50,46,0.15,3,7
20080111,50,51,48,0,2,7
20080112,50,55,45,0,2,8
20080113,47,57,37,0.01,3,10
20080114,48,55,41,0.01,2,8
20080115,47,57,37,0,2,9
20080116,46,57,36,0,5,15
20080117,48,57,39,0,7,12
20080118,46,59,32,0,2,8
20080119,45,57,33,0,2,7
20080120,45,53,37,0,6,16
20080121,44,48,39,0.32,6,12
20080122,42,44,39,0.33,5,16
20080123,41,43,39,0.31,4,8
20080124,42,46,39,0.04,1,9
20080125,49,53,45,0.6,7,17
20080126,54,61,48,0.17,3,10
20080127,50,55,44,0.25,8,20
20080128,45,51,39,0.06,7,12
20080129,43,50,36,0.02,7,18
20080130,46,53,39,0.03,4,12
20080131,48,52,43,0.22,10,18
20080201,44,51,37,0,5,14
20080202,44,53,39,0.19,11,20
20080203,49,53,45,0.09,12,20
20080204,44,55,34,0,5,17
20080205,45,57,33,0,2,9
20080206,50,57,43,0,5,9
20080207,50,62,39,0,5,13
20080208,50,64,37,0,1,6
20080209,52,64,41,0,2,7
20080210,52,66,39,0,2,9
20080211,54,66,42,0,1,7
20080212,55,68,42,0,2,10
20080213,56,66,46,0,8,26
20080214,52,61,42,0,11,21
20080215,50,64,36,0,2,6
20080216,51,63,39,0,2,7
20080217,48,60,37,0,1,12
20080218,50,57,44,0,4,10
20080219,52,55,48,0.53,7,12
20080220,52,59,46,0.01,2,7
20080221,50,55,46,0.1,4,9
20080222,50,55,45,0.09,6,10
20080223,46,52,39,0.24,6,16
20080224,54,59,50,0.42,13,26
20080225,52,60,44,0.01,3,7
20080226,52,64,39,0,3,10
20080227,56,69,44,0,2,7
20080228,58,72,45,0.01,1,6
20080301,54,61,46,0,10,22
20080302,54,66,41,0,8,18
20080303,52,66,39,0,3,7
20080304,54,69,39,0,4,9
20080305,54,70,39,0,3,12
20080306,52,63,41,0,4,9
20080307,54,68,41,0,2,7
20080308,59,71,46,0,5,16
20080309,59,74,44,0,2,8
20080310,60,72,47,0,5,24
20080311,58,67,48,0,6,13
20080312,58,66,49,0,9,17
20080313,57,64,50,0,10,24
20080314,52,59,45,0.06,8,20
20080315,51,58,43,0.05,8,17
20080316,51,63,38,0,8,23
20080317,55,71,38,0,4,13
20080318,59,72,46,0,7,17
20080319,57,63,50,0,12,18
20080320,53,63,42,0,8,18
20080321,54,68,40,0,3,12
20080322,58,74,42,0,4,13
20080323,57,74,40,0,5,14
20080324,58,73,46,0,6,13
20080325,58,69,48,0,8,16
20080326,54,64,46,0,9,20
20080327,50,61,39,0,6,10
20080328,54,64,46,0.01,9,17
20080329,54,62,48,0.01,5,13
20080330,52,62,44,0,9,17
20080331,52,64,39,0,6,9
20080401,56,68,46,0,5,12
20080402,54,66,44,0,3,9
20080403,58,73,45,0,4,13
20080404,54,64,45,0,7,16
20080405,54,66,44,0,9,16
20080406,54,62,48,0,9,17
20080407,52,64,39,0,7,15
20080408,55,62,48,0,11,21
20080409,55,66,44,0,8,15
20080410,60,75,46,0,6,10
20080411,63,81,46,0,4,13
20080412,68,86,50,0,3,10
20080413,72,88,55,0,5,14
20080414,56,64,48,0,12,24
20080415,53,64,43,0,9,14
20080416,58,77,42,0,5,12
20080417,63,82,45,0,3,13
20080418,62,75,48,0,8,23
20080419,54,63,44,0,15,23
20080420,50,60,41,0,10,17
20080421,50,61,41,0,9,16
20080422,54,63,48,0.02,8,16
20080423,55,64,46,0.02,7,15
20080424,54,71,39,0,3,13
20080425,62,79,46,0,4,13
20080426,68,87,51,0,3,12
20080427,74,90,57,0,4,14
20080428,68,84,52,0,5,18
